,sp_codes,sp_names,bacdive_code,tax_id,oxygen_fusion,oxygen_gold,merge_oxygen,habitat,temp_range_deduced,temp_def,temp_type_def,continent_def,habMix,oxySimpl,life_domain,clades
63,ecoj,Escherichia coli JJ1886,4907.0,1355100,,,,,mesophilic,33.5,growth,,,,Bacteria,Enterobacterales
64,ecos,Escherichia coli O25b:K100:H4-ST131 EC958 (UPEC),4907.0,941322,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
65,efe,Escherichia fergusonii,4930.0,585054,Facultative,Facultative,Facultative,Host,mesophilic,33.5,growth,North America,Symbiont,Facultative,Bacteria,Enterobacterales
66,eal,Escherichia albertii,4932.0,1440052,,,,,mesophilic,30.0,growth,Asia,,,Bacteria,Enterobacterales
67,ema,Escherichia marmotae,131363.0,1499973,,,,,,,,Asia,,,Bacteria,Enterobacterales
68,sty,Salmonella enterica subsp. enterica serovar Typhi CT18,5117.0,220341,Facultative,Facultative,Facultative,Fresh water-Host-Soil,mesophilic,32.333333333333336,growth,,Mixed,Facultative,Bacteria,Enterobacterales
69,stt,Salmonella enterica subsp. enterica serovar Typhi Ty2,5117.0,209261,Facultative,Facultative,Facultative,Fresh water-Host-Soil,mesophilic,32.333333333333336,growth,,Mixed,Facultative,Bacteria,Enterobacterales
70,sex,Salmonella enterica subsp. enterica serovar Typhi P-stx-12,5117.0,1132507,,Anaerobe,Anaerobe,,mesophilic,32.333333333333336,growth,,,Anaerobe,Bacteria,Enterobacterales
71,sent,Salmonella enterica subsp. enterica serovar Typhi Ty21a,5117.0,527001,,Facultative,Facultative,,mesophilic,32.333333333333336,growth,,,Facultative,Bacteria,Enterobacterales
72,stm,Salmonella enterica subsp. enterica serovar Typhimurium LT2,5117.0,99287,Facultative,Facultative,Facultative,Fresh water-Host-Soil,mesophilic,32.333333333333336,growth,,Mixed,Facultative,Bacteria,Enterobacterales
73,seo,Salmonella enterica subsp. enterica serovar Typhimurium 14028S,5117.0,588858,,Facultative,Facultative,,mesophilic,32.333333333333336,growth,,,Facultative,Bacteria,Enterobacterales
74,sev,Salmonella enterica subsp. enterica serovar Typhimurium D23580,5117.0,568708,,Facultative,Facultative,,mesophilic,32.333333333333336,growth,,,Facultative,Bacteria,Enterobacterales
75,sey,Salmonella enterica subsp. enterica serovar Typhimurium SL1344,5117.0,216597,,Facultative,Facultative,,mesophilic,32.333333333333336,growth,,,Facultative,Bacteria,Enterobacterales
76,sem,Salmonella enterica subsp. enterica serovar Typhimurium T000240,5117.0,718274,,Facultative,Facultative,,mesophilic,32.333333333333336,growth,,,Facultative,Bacteria,Enterobacterales
77,sej,Salmonella enterica subsp. enterica serovar Typhimurium UK-1,5117.0,990282,,Facultative,Facultative,,mesophilic,32.333333333333336,growth,,,Facultative,Bacteria,Enterobacterales
78,seb,Salmonella enterica subsp. enterica serovar Typhimurium ST4/74,5117.0,909946,,Facultative,Facultative,,mesophilic,32.333333333333336,growth,,,Facultative,Bacteria,Enterobacterales
79,sef,Salmonella enterica subsp. enterica serovar Typhimurium 798,5117.0,1008297,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
80,setu,Salmonella enterica subsp. enterica serovar Typhimurium U288,5117.0,1171376,,Aerobe,Aerobe,,mesophilic,32.333333333333336,growth,,,Aerobe,Bacteria,Enterobacterales
81,setc,Salmonella enterica subsp. enterica serovar Typhimurium var. 5- CFSAN001921,5117.0,1271862,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
82,senr,Salmonella enterica subsp. enterica serovar Typhimurium DT2,5117.0,568709,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
83,send,Salmonella enterica subsp. enterica serovar Typhimurium DT104,5117.0,85569,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
84,seni,Salmonella enterica subsp. enterica serovar Typhimurium 138736,5117.0,90371,,Aerobe,Aerobe,,mesophilic,32.333333333333336,growth,,,Aerobe,Bacteria,Enterobacterales
85,seen,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. 08-1736",5117.0,866913,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
86,spt,Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150,5117.0,295319,Facultative,Facultative,Facultative,Fresh water-Host-Soil,mesophilic,32.333333333333336,growth,,Mixed,Facultative,Bacteria,Enterobacterales
87,sek,Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601,5117.0,554290,Facultative,Facultative,Facultative,Host,mesophilic,32.333333333333336,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
88,spq,Salmonella enterica subsp. enterica serovar Paratyphi B,5117.0,1016998,,Facultative,Facultative,,mesophilic,32.333333333333336,growth,,,Facultative,Bacteria,Enterobacterales
89,sei,Salmonella enterica subsp. enterica serovar Paratyphi C,5117.0,476213,Facultative,Facultative,Facultative,Host,mesophilic,32.333333333333336,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
90,sec,Salmonella enterica subsp. enterica serovar Choleraesuis,5117.0,321314,Facultative,Facultative,Facultative,Fresh water-Host-Soil,mesophilic,32.333333333333336,growth,,Mixed,Facultative,Bacteria,Enterobacterales
91,seh,Salmonella enterica subsp. enterica serovar Heidelberg SL476,5117.0,454169,Facultative,Facultative,Facultative,Fresh water-Host-Soil,mesophilic,32.333333333333336,growth,,Mixed,Facultative,Bacteria,Enterobacterales
92,shb,Salmonella enterica subsp. enterica serovar Heidelberg B182,5117.0,1160717,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
93,senh,Salmonella enterica subsp. enterica serovar Heidelberg CFSAN002069,5117.0,1271864,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
94,seeh,Salmonella enterica subsp. enterica serovar Heidelberg 41578,5117.0,1124936,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
95,see,Salmonella enterica subsp. enterica serovar Newport SL254,5117.0,423368,Facultative,Facultative,Facultative,Fresh water-Host-Soil,mesophilic,32.333333333333336,growth,,Mixed,Facultative,Bacteria,Enterobacterales
96,senn,Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1,5117.0,877468,,Facultative,Facultative,,mesophilic,32.333333333333336,growth,,,Facultative,Bacteria,Enterobacterales
97,sew,Salmonella enterica subsp. enterica serovar Schwarzengrund,5117.0,439843,Facultative,Facultative,Facultative,Fresh water-Host-Soil,mesophilic,32.333333333333336,growth,,Mixed,Facultative,Bacteria,Enterobacterales
98,sea,Salmonella enterica subsp. enterica serovar Agona SL483,5117.0,454166,Facultative,Facultative,Facultative,Fresh water-Host-Soil,mesophilic,32.333333333333336,growth,,Mixed,Facultative,Bacteria,Enterobacterales
99,sens,Salmonella enterica subsp. enterica serovar Agona 24249,5117.0,1406860,,Facultative,Facultative,,mesophilic,32.333333333333336,growth,,,Facultative,Bacteria,Enterobacterales
100,sed,Salmonella enterica subsp. enterica serovar Dublin,5117.0,439851,Facultative,Facultative,Facultative,Fresh water-Host-Soil,mesophilic,32.333333333333336,growth,,Mixed,Facultative,Bacteria,Enterobacterales
101,seg,Salmonella enterica subsp. enterica serovar Gallinarum 287/91,5117.0,550538,Facultative,Facultative,Facultative,Host,mesophilic,32.333333333333336,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
102,sel,Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078,5117.0,1081093,,Facultative,Facultative,,mesophilic,32.333333333333336,growth,,,Facultative,Bacteria,Enterobacterales
103,sega,Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67,5117.0,1225522,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
104,set,Salmonella enterica subsp. enterica serovar Enteritidis P125109,5117.0,550537,Facultative,Facultative,Facultative,Host,mesophilic,32.333333333333336,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
105,sena,Salmonella enterica subsp. enterica serovar Enteritidis EC20090135,5117.0,1412460,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
106,seno,Salmonella enterica subsp. enterica serovar Enteritidis EC20090193,5117.0,1412459,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
107,senv,Salmonella enterica subsp. enterica serovar Enteritidis EC20090332,5117.0,1412461,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
108,senq,Salmonella enterica subsp. enterica serovar Enteritidis EC20090531,5117.0,1412462,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
109,senl,Salmonella enterica subsp. enterica serovar Enteritidis OLF-SE1-1019-1,5117.0,149539,,Facultative,Facultative,,mesophilic,32.333333333333336,growth,,,Facultative,Bacteria,Enterobacterales
110,senj,Salmonella enterica subsp. enterica serovar Javiana,5117.0,1267753,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
111,seec,Salmonella enterica subsp. enterica serovar Cubana,5117.0,1271863,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
112,seeb,Salmonella enterica subsp. enterica serovar Bareilly,5117.0,1173427,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
113,seep,Salmonella enterica subsp. enterica serovar Pullorum,5117.0,1298917,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
114,senb,Salmonella enterica subsp. enterica serovar Bovismorbificans,5117.0,1320309,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
115,sene,Salmonella enterica subsp. enterica serovar Thompson,5117.0,1064551,,Facultative,Facultative,,mesophilic,32.333333333333336,growth,,,Facultative,Bacteria,Enterobacterales
116,senc,Salmonella enterica subsp. enterica serovar Tennessee,5117.0,1003191,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
117,ses,Salmonella enterica subsp. arizonae,5127.0,41514,,,,,mesophilic,33.5,growth,North America,,,Bacteria,Enterobacterales
118,sbg,Salmonella bongori NCTC 12419,5125.0,218493,Facultative,Facultative,Facultative,Host,mesophilic,30.0,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
119,sbz,Salmonella bongori N268-08,5125.0,1197719,,,,,mesophilic,30.0,growth,,,,Bacteria,Enterobacterales
120,sbv,Salmonella bongori serovar 48:z41:--,5125.0,1382510,,,,,mesophilic,30.0,growth,,,,Bacteria,Enterobacterales
121,salz,Salmonella sp. SSDFZ69,,2500543,,,,,,,,,,,Bacteria,Enterobacterales
122,sfl,Shigella flexneri 301 (serotype 2a),5171.0,198214,Facultative,Facultative,Facultative,Host,mesophilic,32.333333333333336,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
123,sfx,Shigella flexneri 2457T (serotype 2a),5171.0,198215,Facultative,Facultative,Facultative,Host,mesophilic,32.333333333333336,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
124,sfv,Shigella flexneri 8401 (serotype 5b),5171.0,373384,Facultative,Facultative,Facultative,Host,mesophilic,32.333333333333336,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
125,sfe,Shigella flexneri 2002017 (serotype Fxv),5171.0,591020,,Facultative,Facultative,,mesophilic,32.333333333333336,growth,,,Facultative,Bacteria,Enterobacterales
126,sfn,Shigella flexneri 2003036,5171.0,1282357,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
127,sfs,Shigella flexneri Shi06HN006 (serotype Yv),5171.0,1282358,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
128,sft,Shigella flexneri NCTC1 (serotype 2a),5171.0,623,,,,,mesophilic,32.333333333333336,growth,,,,Bacteria,Enterobacterales
129,ssn,Shigella sonnei Ss046,5172.0,300269,Facultative,Facultative,Facultative,Host,mesophilic,32.333333333333336,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
130,sbo,Shigella boydii Sb227 (serotype 4),5174.0,300268,Facultative,Facultative,Facultative,Host,mesophilic,34.666666666666664,growth,Asia,Symbiont,Facultative,Bacteria,Enterobacterales
131,sbc,Shigella boydii CDC 3083-94 (serotype 18),5174.0,344609,Facultative,Facultative,Facultative,Host,mesophilic,34.666666666666664,growth,Asia,Symbiont,Facultative,Bacteria,Enterobacterales
132,sdy,Shigella dysenteriae Sd197,138456.0,300267,Facultative,Facultative,Facultative,Host,mesophilic,30.0,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
133,sdz,Shigella dysenteriae 1617 (serotype 1),138456.0,754093,,Facultative,Facultative,,mesophilic,30.0,growth,,,Facultative,Bacteria,Enterobacterales
134,shq,Shigella sp. PAMC 28760,,1813821,,,,,,,,,,,Bacteria,Enterobacterales
135,ent,Enterobacter sp. 638,,399742,Facultative,Facultative,Facultative,Host,,,,,Symbiont,Facultative,Bacteria,Enterobacterales
136,enc,Enterobacter cloacae subsp. cloacae ATCC 13047,4373.0,716541,Aerobe,Aerobe,Aerobe,Host,mesophilic,30.0,growth,,Symbiont,Aerobe,Bacteria,Enterobacterales
137,eno,Enterobacter cloacae subsp. cloacae ENHKU01,4373.0,1211025,,,,,mesophilic,30.0,growth,,,,Bacteria,Enterobacterales
138,eclo,Enterobacter cloacae subsp. cloacae NCTC 9394,4373.0,718254,,Anaerobe,Anaerobe,,mesophilic,30.0,growth,,,Anaerobe,Bacteria,Enterobacterales
139,enl,Enterobacter cloacae subsp. dissolvens SDM,4371.0,1104326,,,,,mesophilic,29.33333333333333,growth,,,,Bacteria,Enterobacterales
140,eclg,Enterobacter cloacae GGT036,,550,,Facultative,Facultative,,,,,,,Facultative,Bacteria,Enterobacterales
141,ecle,Enterobacter cloacae ECNIH2,,1333850,,,,,,,,,,,Bacteria,Enterobacterales
142,ecln,Enterobacter cloacae ECNIH4,,550,,Facultative,Facultative,,,,,,,Facultative,Bacteria,Enterobacterales
143,ecli,Enterobacter cloacae ECNIH5,,550,,Facultative,Facultative,,,,,,,Facultative,Bacteria,Enterobacterales
144,eclx,Enterobacter hormaechei subsp. xiangfangensis,132178.0,1296536,,,,,mesophilic,30.0,growth,Asia,,,Bacteria,Enterobacterales
145,ecly,Enterobacter hormaechei subsp. steigerwaltii,131104.0,299766,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,Enterobacterales
146,eclz,Enterobacter hormaechei subsp. hormaechei,4368.0,301105,,,,,mesophilic,30.0,growth,North America,,,Bacteria,Enterobacterales
147,ehm,Enterobacter hormaechei CAV1176,,158836,,,,,,,,,,,Bacteria,Enterobacterales
148,exf,Enterobacter hormaechei subsp. xiangfangensis,132178.0,1296536,,,,,mesophilic,30.0,growth,Asia,,,Bacteria,Enterobacterales
149,ecla,Enterobacter hormaechei subsp. hoffmannii ECNIH3,,1333851,,,,,,,,,,,Bacteria,Enterobacterales
150,eclc,Enterobacter hormaechei subsp. hoffmannii ECR091,,1333849,,,,,,,,,,,Bacteria,Enterobacterales
151,eau,Enterobacter asburiae L1,,1421338,,,,,,,,,,,Bacteria,Enterobacterales
152,ekb,Enterobacter kobei,,208224,,Facultative,Facultative,,,,,,,Facultative,Bacteria,Enterobacterales
153,eec,Enterobacter ludwigii EcWSU1,4372.0,299767,,Anaerobe,Anaerobe,,mesophilic,33.5,growth,Europe,,Anaerobe,Bacteria,Enterobacterales
154,elg,Enterobacter ludwigii EN-119,4372.0,299767,,Anaerobe,Anaerobe,,mesophilic,33.5,growth,Europe,,Anaerobe,Bacteria,Enterobacterales
155,ecan,Enterobacter cancerogenus,4375.0,69218,,,,,mesophilic,30.0,growth,Europe,,,Bacteria,Enterobacterales
156,ern,Enterobacter roggenkampii,,1812935,,,,,,,,,,,Bacteria,Enterobacterales
157,ecls,Enterobacter cloacae complex sp. 35734,,1812935,,,,,,,,,,,Bacteria,Enterobacterales
159,eas,Enterobacter soli,156999.0,885040,,,,,mesophilic,30.0,growth,Middle and South America,,,Bacteria,Enterobacterales
160,enr,Enterobacter sp. R4-368,,1166130,,Aerobe,Aerobe,,,,,,,Aerobe,Bacteria,Enterobacterales
161,enx,Enterobacter sp. E20,,1560339,,,,,,,,,,,Bacteria,Enterobacterales
162,enf,Enterobacter sp. FY-07,,1692238,,,,,,,,,,,Bacteria,Enterobacterales
163,ebg,Enterobacter bugandensis,132404.0,881260,,Anaerobe,Anaerobe,,mesophilic,37.0,optimum,Africa,,Anaerobe,Bacteria,Enterobacterales
164,esa,Cronobacter sakazakii ATCC BAA-894,5236.0,290339,Facultative,Facultative,Facultative,Host,mesophilic,30.0,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
165,csk,Cronobacter sakazakii ES15,5236.0,1138308,,,,,mesophilic,30.0,growth,,,,Bacteria,Enterobacterales
166,csz,Cronobacter sakazakii Sp291,5236.0,956149,,Facultative,Facultative,,mesophilic,30.0,growth,,,Facultative,Bacteria,Enterobacterales
167,csj,Cronobacter sakazakii ATCC 29544,5236.0,28141,,,,,mesophilic,30.0,growth,,,,Bacteria,Enterobacterales
168,ccon,Cronobacter condimenti,23990.0,1073999,,,,,mesophilic,37.0,optimum,Europe,,,Bacteria,Enterobacterales
169,cdm,Cronobacter dublinensis,5239.0,1159554,,Facultative,Facultative,,mesophilic,33.5,growth,Europe,,Facultative,Bacteria,Enterobacterales
